subject,project,company,status,priority,exp_start_date,exp_end_date
Training & Handover - Punjab Tertiary Hospitals Waste Manageme,Punjab Tertiary Hospitals Waste Management,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-03-17,2024-04-06
Execution Phase 2 - Punjab Tertiary Hospitals Waste Manageme,Punjab Tertiary Hospitals Waste Management,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2024-04-01,2024-04-13
Testing & QA - Punjab Tertiary Hospitals Waste Manageme,Punjab Tertiary Hospitals Waste Management,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-04-16,2024-05-05
Resource Allocation - Lahore District Hospital Waste Contract,Lahore District Hospital Waste Contract,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,Medium,2025-11-24,2025-12-04
Execution Phase 2 - Lahore District Hospital Waste Contract,Lahore District Hospital Waste Contract,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-12-09,2026-01-06
Closure & Reporting - Lahore District Hospital Waste Contract,Lahore District Hospital Waste Contract,EnXi Biomedical & Waste Management (Pvt) Ltd,Working,Medium,2025-12-24,2026-01-11
Training & Handover - Lahore District Hospital Waste Contract,Lahore District Hospital Waste Contract,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,Low,2026-01-08,2026-02-05
Closure & Reporting - Incinerator Facility Upgrade - Lahore,Incinerator Facility Upgrade - Lahore,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2024-03-22,2024-04-06
Execution Phase 2 - Incinerator Facility Upgrade - Lahore,Incinerator Facility Upgrade - Lahore,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2024-04-06,2024-04-16
Resource Allocation - Incinerator Facility Upgrade - Lahore,Incinerator Facility Upgrade - Lahore,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2024-04-21,2024-05-13
Training & Handover - Incinerator Facility Upgrade - Lahore,Incinerator Facility Upgrade - Lahore,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2024-05-06,2024-05-19
Planning & Scoping - Incinerator Facility Upgrade - Lahore,Incinerator Facility Upgrade - Lahore,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2024-05-21,2024-06-11
Execution Phase 1 - Incinerator Facility Upgrade - Lahore,Incinerator Facility Upgrade - Lahore,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2024-06-05,2024-06-15
Resource Allocation - Incinerator Facility Setup - Faisalabad,Incinerator Facility Setup - Faisalabad,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2024-04-09,2024-04-21
Procurement - Incinerator Facility Setup - Faisalabad,Incinerator Facility Setup - Faisalabad,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-04-24,2024-05-11
Closure & Reporting - Incinerator Facility Setup - Faisalabad,Incinerator Facility Setup - Faisalabad,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2024-05-09,2024-06-08
Testing & QA - Incinerator Facility Setup - Faisalabad,Incinerator Facility Setup - Faisalabad,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2024-05-24,2024-06-09
Procurement - Fleet Modernization Phase 1,Fleet Modernization Phase 1,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,Low,2025-11-04,2025-11-29
Planning & Scoping - Fleet Modernization Phase 1,Fleet Modernization Phase 1,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,High,2025-11-19,2025-12-06
Resource Allocation - Fleet Modernization Phase 1,Fleet Modernization Phase 1,EnXi Biomedical & Waste Management (Pvt) Ltd,Working,Medium,2025-12-04,2026-01-02
Procurement - Fleet Modernization Phase 2,Fleet Modernization Phase 2,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-07-04,2025-08-02
Execution Phase 2 - Fleet Modernization Phase 2,Fleet Modernization Phase 2,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-07-19,2025-08-05
Closure & Reporting - Fleet Modernization Phase 2,Fleet Modernization Phase 2,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2025-08-03,2025-08-27
Planning & Scoping - Hospital Waste Training Program 2025,Hospital Waste Training Program 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2024-04-01,2024-04-29
Closure & Reporting - Hospital Waste Training Program 2025,Hospital Waste Training Program 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-04-16,2024-04-28
Testing & QA - Hospital Waste Training Program 2025,Hospital Waste Training Program 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-05-01,2024-05-23
Training & Handover - Hospital Waste Training Program 2025,Hospital Waste Training Program 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2024-05-16,2024-06-01
Execution Phase 2 - Hospital Waste Training Program 2025,Hospital Waste Training Program 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-05-31,2024-06-19
Procurement - Hospital Waste Training Program 2025,Hospital Waste Training Program 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2024-06-15,2024-07-11
Resource Allocation - PPE Distribution Campaign,PPE Distribution Campaign,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2025-04-23,2025-05-18
Procurement - PPE Distribution Campaign,PPE Distribution Campaign,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-05-08,2025-05-31
Planning & Scoping - PPE Distribution Campaign,PPE Distribution Campaign,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-05-23,2025-06-05
Training & Handover - PPE Distribution Campaign,PPE Distribution Campaign,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-06-07,2025-07-01
Execution Phase 2 - PPE Distribution Campaign,PPE Distribution Campaign,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-06-22,2025-07-03
Execution Phase 1 - PPE Distribution Campaign,PPE Distribution Campaign,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2025-07-07,2025-08-03
Procurement - GPS Tracking System Deployment,GPS Tracking System Deployment,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-12-31,2026-01-11
Execution Phase 2 - GPS Tracking System Deployment,GPS Tracking System Deployment,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,High,2026-01-15,2026-02-10
Resource Allocation - GPS Tracking System Deployment,GPS Tracking System Deployment,EnXi Biomedical & Waste Management (Pvt) Ltd,Working,High,2026-01-30,2026-02-15
Planning & Scoping - GPS Tracking System Deployment,GPS Tracking System Deployment,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2026-02-14,2026-03-14
Closure & Reporting - GPS Tracking System Deployment,GPS Tracking System Deployment,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,Low,2026-03-01,2026-03-16
Training & Handover - GPS Tracking System Deployment,GPS Tracking System Deployment,EnXi Biomedical & Waste Management (Pvt) Ltd,Working,High,2026-03-16,2026-03-29
Execution Phase 1 - Environmental Compliance Audit 2025,Environmental Compliance Audit 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-12-30,2026-01-13
Resource Allocation - Environmental Compliance Audit 2025,Environmental Compliance Audit 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,High,2026-01-14,2026-02-04
Procurement - Environmental Compliance Audit 2025,Environmental Compliance Audit 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Working,Low,2026-01-29,2026-02-22
Planning & Scoping - Environmental Compliance Audit 2025,Environmental Compliance Audit 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,High,2026-02-13,2026-03-06
Training & Handover - Environmental Compliance Audit 2025,Environmental Compliance Audit 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,Low,2026-02-28,2026-03-11
Training & Handover - Biomedical Equipment Installation - Mayo,Biomedical Equipment Installation - Mayo Hospital,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-05-31,2025-06-21
Execution Phase 1 - Biomedical Equipment Installation - Mayo,Biomedical Equipment Installation - Mayo Hospital,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-06-15,2025-07-04
Execution Phase 2 - Biomedical Equipment Installation - Mayo,Biomedical Equipment Installation - Mayo Hospital,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-06-30,2025-07-26
Closure & Reporting - AMC Rollout Q1 2025,AMC Rollout Q1 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-06-05,2025-06-29
Testing & QA - AMC Rollout Q1 2025,AMC Rollout Q1 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-06-20,2025-07-03
Planning & Scoping - AMC Rollout Q1 2025,AMC Rollout Q1 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2025-07-05,2025-07-28
Training & Handover - AMC Rollout Q1 2025,AMC Rollout Q1 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2025-07-20,2025-08-16
Execution Phase 2 - AMC Rollout Q1 2025,AMC Rollout Q1 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-08-04,2025-08-18
Resource Allocation - AMC Rollout Q1 2025,AMC Rollout Q1 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-08-19,2025-08-29
Execution Phase 1 - Waste Segregation Training - Punjab,Waste Segregation Training - Punjab,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2025-02-18,2025-03-13
Execution Phase 2 - Waste Segregation Training - Punjab,Waste Segregation Training - Punjab,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-03-05,2025-03-22
Closure & Reporting - Waste Segregation Training - Punjab,Waste Segregation Training - Punjab,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-03-20,2025-04-04
Procurement - Waste Segregation Training - Punjab,Waste Segregation Training - Punjab,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-04-04,2025-04-15
Resource Allocation - Waste Segregation Training - Punjab,Waste Segregation Training - Punjab,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2025-04-19,2025-05-17
Execution Phase 1 - Route Optimization Project,Route Optimization Project,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,Low,2025-10-18,2025-11-08
Testing & QA - Route Optimization Project,Route Optimization Project,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2025-11-02,2025-12-01
Planning & Scoping - Route Optimization Project,Route Optimization Project,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,High,2025-11-17,2025-11-29
Procurement - Route Optimization Project,Route Optimization Project,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,Medium,2025-12-02,2025-12-22
Training & Handover - Route Optimization Project,Route Optimization Project,EnXi Biomedical & Waste Management (Pvt) Ltd,Working,Low,2025-12-17,2026-01-06
Procurement - ERP System Implementation,ERP System Implementation,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2024-07-20,2024-08-13
Execution Phase 2 - ERP System Implementation,ERP System Implementation,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-08-04,2024-08-21
Closure & Reporting - ERP System Implementation,ERP System Implementation,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-08-19,2024-09-14
Execution Phase 1 - ERP System Implementation,ERP System Implementation,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-09-03,2024-09-26
Training & Handover - ERP System Implementation,ERP System Implementation,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2024-09-18,2024-10-17
Planning & Scoping - Quality Management System Setup,Quality Management System Setup,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-11-22,2025-12-10
Testing & QA - Quality Management System Setup,Quality Management System Setup,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-12-07,2025-12-26
Execution Phase 1 - Quality Management System Setup,Quality Management System Setup,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-12-22,2026-01-11
Training & Handover - Quality Management System Setup,Quality Management System Setup,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2026-01-06,2026-01-23
Closure & Reporting - Incinerator Emissions Compliance Project,Incinerator Emissions Compliance Project,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2025-02-10,2025-02-25
Resource Allocation - Incinerator Emissions Compliance Project,Incinerator Emissions Compliance Project,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-02-25,2025-03-27
Execution Phase 1 - Incinerator Emissions Compliance Project,Incinerator Emissions Compliance Project,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-03-12,2025-04-05
Resource Allocation - New Hospital Onboarding Q2 2025,New Hospital Onboarding Q2 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-08-24,2025-09-20
Training & Handover - New Hospital Onboarding Q2 2025,New Hospital Onboarding Q2 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-09-08,2025-09-22
Testing & QA - New Hospital Onboarding Q2 2025,New Hospital Onboarding Q2 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-09-23,2025-10-14
Execution Phase 1 - Container Distribution Program,Container Distribution Program,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,Medium,2025-10-11,2025-11-03
Procurement - Container Distribution Program,Container Distribution Program,EnXi Biomedical & Waste Management (Pvt) Ltd,Open,Low,2025-10-26,2025-11-22
Planning & Scoping - Container Distribution Program,Container Distribution Program,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-11-10,2025-12-09
Execution Phase 2 - Staff Capacity Building 2025,Staff Capacity Building 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Low,2025-01-04,2025-01-16
Planning & Scoping - Staff Capacity Building 2025,Staff Capacity Building 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-01-19,2025-02-13
Execution Phase 1 - Staff Capacity Building 2025,Staff Capacity Building 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,Medium,2025-02-03,2025-02-21
Procurement - Staff Capacity Building 2025,Staff Capacity Building 2025,EnXi Biomedical & Waste Management (Pvt) Ltd,Completed,High,2025-02-18,2025-03-02
